Date,Weekly_Sales
05-02-2010,49750740.5
12-02-2010,48336677.63
19-02-2010,48276993.78
26-02-2010,43968571.13
05-03-2010,46871470.3
12-03-2010,45925396.51
19-03-2010,44988974.64
26-03-2010,44133961.05
02-04-2010,50423831.26
09-04-2010,47365290.44
16-04-2010,45183667.08
23-04-2010,44734452.56
30-04-2010,43705126.71
07-05-2010,48503243.52
14-05-2010,45330080.2
21-05-2010,45120108.06
28-05-2010,47757502.56
04-06-2010,50188543.12
11-06-2010,47826546.72
18-06-2010,47622046.23
25-06-2010,46609036.29
02-07-2010,48917484.5
09-07-2010,47899529.37
16-07-2010,46243899.58
23-07-2010,44888849.11
30-07-2010,44630363.42
06-08-2010,48204999.12
13-08-2010,46464418.41
20-08-2010,47060952.92
27-08-2010,45909740.44
03-09-2010,47194257.61
10-09-2010,45634397.84
17-09-2010,43080726.51
24-09-2010,41358514.41
01-10-2010,42239875.87
08-10-2010,45102974.23
15-10-2010,43149473.45
22-10-2010,43066669.52
29-10-2010,43602830.95
05-11-2010,45781981.89
12-11-2010,46124800.83
19-11-2010,45125584.18
26-11-2010,65821003.24
03-12-2010,49909027.88
10-12-2010,55666770.39
17-12-2010,61820799.85
24-12-2010,80931415.6
31-12-2010,40432519
07-01-2011,42775787.77
14-01-2011,40673678.04
21-01-2011,40654648.03
28-01-2011,39599852.99
04-02-2011,46153111.12
11-02-2011,47336192.79
18-02-2011,48716164.12
25-02-2011,44125859.84
04-03-2011,46980603.74
11-03-2011,44627319.4
18-03-2011,44872325.97
25-03-2011,42876199.18
01-04-2011,43458991.19
08-04-2011,45887466.8
15-04-2011,44973328.14
22-04-2011,48676692.06
29-04-2011,43530032.78
06-05-2011,46861958.29
13-05-2011,45446144.82
20-05-2011,44046598.01
27-05-2011,45293457.04
03-06-2011,48771994.18
10-06-2011,47669734.66
17-06-2011,47447561.77
24-06-2011,45884094.58
01-07-2011,47578519.5
08-07-2011,47859263.78
15-07-2011,45515929.92
22-07-2011,45274411.39
29-07-2011,43683274.28
05-08-2011,48015466.97
12-08-2011,46249569.21
19-08-2011,46917347.62
26-08-2011,47416948.45
02-09-2011,45376623.27
09-09-2011,46763227.53
16-09-2011,43793960.08
23-09-2011,42718096.73
30-09-2011,42195830.81
07-10-2011,47211688.36
14-10-2011,44374820.3
21-10-2011,45818953.44
28-10-2011,45855821.05
04-11-2011,48655544.3
11-11-2011,48474224.75
18-11-2011,46438980.56
25-11-2011,66593605.26
02-12-2011,49390556.49
09-12-2011,55561147.7
16-12-2011,60085695.94
23-12-2011,76998241.31
30-12-2011,46042461.04
06-01-2012,44955421.95
13-01-2012,42023078.48
20-01-2012,42080996.56
27-01-2012,39834974.67
03-02-2012,46085608.09
10-02-2012,50009407.92
17-02-2012,50197056.96
24-02-2012,45771506.57
02-03-2012,46861034.97
09-03-2012,47480454.11
16-03-2012,46901504.94
23-03-2012,44993794.45
30-03-2012,45272862.02
06-04-2012,53502315.87
13-04-2012,46629261.41
20-04-2012,45072529.78
27-04-2012,43716798.89
04-05-2012,47124197.93
11-05-2012,46925878.99
18-05-2012,46823939.22
25-05-2012,47892463.31
01-06-2012,48281649.72
08-06-2012,49651171.78
15-06-2012,48412110.7
22-06-2012,47668284.97
29-06-2012,46597112.12
06-07-2012,51253021.88
13-07-2012,46099732.1
20-07-2012,46059543.45
27-07-2012,44097154.97
03-08-2012,47485899.56
10-08-2012,47403451.04
17-08-2012,47354452.05
24-08-2012,47447323.6
31-08-2012,47159639.43
07-09-2012,48330059.31
14-09-2012,44226038.65
21-09-2012,44354547.11
28-09-2012,43734899.4
05-10-2012,47566639.31
12-10-2012,46128514.25
19-10-2012,45122410.57
26-10-2012,45544116.29
